,column1,Column2,Column3
102,,AVATAR LENDING INVESTORS INC.,29-Jun-17
103,,BAGCO LOAN CORP.,29-Jun-17
104,,"BOSTON EQUITY RESOURCES, INC.",29-Jun-17
105,,CEBU CREDIT HOUSE INC.,29-Jun-17
106,,CEBU CREDITLINE CORP.,29-Jun-17
107,,CEBU LENDING SPECIALISTS INC.,29-Jun-17
108,,CITY LINK LENDING CORP.,29-Jun-17
109,,"CITY LOANS LENDING INVESTORS, INC.",29-Jun-17
110,,COCO CITY LENDING INVESTOR INC.,29-Jun-17
111,,"COMPREHENSIVE LENDING INVESTORS, INC.",29-Jun-17
112,,CONCORP PHILS. INC.,29-Jun-17
113,,CONTAL LENDING RESOURCES INC.,29-Jun-17
114,,COUNTRYSIDE LENDING SYSTEMS INC.,29-Jun-17
115,,CREDIT POST INC.,29-Jun-17
116,,D.F.C. LENDING CORP.,29-Jun-17
117,,DAI ICHI CREDIT CORP.,29-Jun-17
118,,DAVAO BETTER HOMES LENDING INVESTORS INC.,29-Jun-17
119,,EGIS LENDING CORP.,29-Jun-17
120,,ELGO LENDING & INVESTMENT CORP.,29-Jun-17
121,,"EXPRESS LENDING INVESTORS, INC.",29-Jun-17
122,,EXPRESSWAY CREDIT CORP.,29-Jun-17
123,,F.M.G. SVCS. INC.,29-Jun-17
124,,F.S.B. LENDING CORP.,29-Jun-17
125,,FIDELEDAD INVESTOR AND LENDING CORP.,29-Jun-17
126,,FIRST ASIA FUNDERS & MANAGERS INC.,29-Jun-17
127,,FIRST BINAN LENDING CORP.,29-Jun-17
128,,FIRST DAIWA CAPITAL CORP.,29-Jun-17
129,,GAMMA LENDING & CREDIT INC.,29-Jun-17
130,,GEM LENDING INVESTORS INC.,29-Jun-17
131,,GLASER LOANS & CREDIT CORP.,29-Jun-17
132,,"GOLDEN LOANS SERVICES, INC.",29-Jun-17
133,,GPS (ILOILO) LENDING CORP.,29-Jun-17
134,,GREAT 8 LENDING INVESTORS CORPORATION,29-Jun-17
135,,IBAAN LENDING INVESTORS INC.,29-Jun-17
136,,INTERCITY LENDING INVESTOR CO. INC.,29-Jun-17
137,,"JP LENDING INVESTORS, INC.",29-Jun-17
138,,KALAYAAN LENDING CORP.,29-Jun-17
139,,KUMINTANG LOANS & CREDIT CORP.,29-Jun-17
140,,L.C.L. CAPITAL INC.,29-Jun-17
141,,LAGUNA CENTRAL CREDIT CORP.,29-Jun-17
142,,LLTJ FINANCING AND DEVELOPMENT CORPORATION,29-Jun-17
143,,"LUCKY PENNY FUND & RESOURCES, INC.",29-Jun-17
144,,MAAMO LENDING CORP.,29-Jun-17
145,,MAASIN TRADERS LENDING CORP.,29-Jun-17
146,,"MABUHAY LENDERS, INC.",29-Jun-17
147,,MADI-AS (ILOILO) LENDING CORP.,29-Jun-17
148,,MAGNA LOAN CORP.,29-Jun-17
149,,MANILA LENDING INVESTOR INC.,29-Jun-17
150,,MARFIVE LENDING INVESTOR CORP.,29-Jun-17
151,,MEGA LOANS & CREDIT CORP.,29-Jun-17
152,,MULTINATIONAL TELECOM INVESTORS CORP.,29-Jun-17
153,,NORTH POINT INTL. VENTURES CORP.,29-Jun-17
154,,NVC LENDING CORP.,29-Jun-17
155,,OCTO LENDING CORP.,29-Jun-17
156,,OTON CREDIT CORP.,29-Jun-17
157,,PALAWAN CREDIT & LENDING INVESTORS CO. INC.,29-Jun-17
158,,PARAGON LENDING INVESTOR CORP.,29-Jun-17
159,,POWER LENDING & CREDIT CORP.,29-Jun-17
160,,PRODUCERS CREDIT CORP.,29-Jun-17
161,,PROGRESSIVE LENDING CORP.,29-Jun-17
162,,QUAD LENDING INVESTOR CORP.,29-Jun-17
163,,REFUND INC.,29-Jun-17
164,,RELIABLE LENDING INVESTOR INC.,29-Jun-17
165,,RODEN LENDING INVESTOR CORP.,29-Jun-17
166,,"ROYAL LEND & EARN LENDING INVESTOR & MGT., INC.",29-Jun-17
167,,SAFEWAY LENDING INC.,29-Jun-17
168,,SANGLAAN LOAN CO. INC.,29-Jun-17
169,,SMHN. NG BUONG LAHING PILIPINO (SBLP) INC.,29-Jun-17
170,,ST. PAUL LENDING HOUSE CORP.,29-Jun-17
171,,STO LENDING INVESTOR CORP.,29-Jun-17
172,,SUGBU FIRST CREDIT CORPORATION,29-Jun-17
173,,TAGUMPAY LENDING INVESTOR CORP.,29-Jun-17
174,,TAHOE LENDING CORP.,29-Jun-17
175,,TOP LENDING INVESTOR CORP.,29-Jun-17
176,,ULTRA LENDING INVESTOR INC.,29-Jun-17
177,,UNITED SUPERVISORS LENDING CO. INC.,29-Jun-17
178,,UNIVERSAL LENDING INVESTOR CORP. OF CAGAYAN DE ORO,29-Jun-17
179,,VILLANCOR CREDIT & LENDING CORP.,29-Jun-17
180,,VINCE LENDING INVESTORS CORP.,29-Jun-17
181,,1530 LENDING HOUSE INC.,29-Jun-17
182,,AB LENDING INVESTORS INC.,29-Jun-17
183,,AEI LENDING CORP.,29-Jun-17
184,,"AEV VILLAMOR CREDIT, INC.",29-Jun-17
185,,ANNJONARD LENDING CORPORATION,29-Jun-17
186,,ASCA LENDING INVESTORS INC.,29-Jun-17
187,,BAYBAY LENDING INVESTORS CORP.,29-Jun-17
188,,BLUE CHIPS LENDING CO. INC.,29-Jun-17
189,,CANDIJAY FINANCIAL ASSISTANCE CENTER INC.,29-Jun-17
190,,CEBU CREDIT ASIA LENDING CORP.,29-Jun-17
191,,CEBU INTERASIA LENDERS INVESTORS CORP.,29-Jun-17
192,,CEBU JAMT LENDING CORP.,29-Jun-17
